CAS,Median PR,Class,ETA_Psi_1,ATS3m,ETA_Beta,ATS8m,GATS5c,ATSC3e,MDEC-22,SubFP40,FP871,piPC7,SIC2,ExtFP612,GATS6v,GATS2v,khs.dssS,khs.sNH2,ATSC8c,khs.aaaC,AATSC8m,ExtFP785,MACCSFP102,minHCsatu,SCH-6,ExtFP557,FP777,AATS6v,GraphFP912,ExtFP738,ExtFP446,AATSC5e,SsssCH,MDEC-14,FP97,FMF,ATSC7c,GraphFP648,FP669,nCl,nbRotBd,ExtFP570
104-35-8,92.32542269571208,1,0.61798,3813.36290000001,16.75,2155.049834999998,0.3808265469089562,0.6622865043005882,21.593030744942176,0,0,4.56304525968742,0.6488718920089782,0,0.977622369756066,1.2544411609600363,0,0,0.0227786387411856,0,-0.0244560622181943,1,0,0.0,0.0833333333333333,0,1,121.3109670735317,1,0,0,0.0031043633847809,0.0,0.0,0,0.3157894736842105,-0.0176505652079753,0,0,0,11,0
104-40-5,92.19719223431936,1,0.6546,3041.891096,14.75,1573.436643999997,0.4112808970703174,0.0191396899999991,18.6067589929096,0,0,3.91825355517878,0.6069681166597123,0,0.9648024173596462,1.2753720120930898,0,0,-0.0001339050210598,0,-0.0830733633333307,1,0,0.0,0.0833333333333333,0,0,119.89429169205624,1,0,0,0.0018792670114942,0.0,0.0,1,0.375,0.0003081109081151,0,0,0,8,0
106-37-6,92.45108135942328,1,0.98837,4692.761899,11.0,0.0,0.0,-0.2643547499999998,3.3019272488946267,0,0,0.0,0.5350950905814501,0,0.0,0.7627439256189511,0,0,0.0,0,0.0,1,0,0.0,0.0833333333333333,0,0,0.0,0,0,0,0.0881182499999999,0.0,0.0,0,0.75,0.0,0,0,0,0,0
115-86-6,51.66666666666666,1,0.59754,6885.159416292,35.25,4128.314424000014,2.4127449275219464,-0.7324793060941834,21.54649722233899,0,0,5.66837116317687,0.437611405602935,0,0.8004997564336469,1.052776081853322,0,0,0.0229410924595817,0,-4.786415036180358,0,1,0.0,0.3061862178478973,0,0,244.7068461467257,0,0,0,-0.0501651685973307,0.0,0.0,0,0.9565217391304348,-0.0490670495288075,0,0,0,6,0
1173019-36-7,92.21961168944073,1,0.59322,5445.25830100001,18.75,2873.329390000003,0.5516566469689875,0.9435883072702244,13.154457450762935,0,0,5.09757722423006,0.6829447788190341,0,1.081477160459166,1.061056265896628,0,0,-0.0151693286106136,0,-1.2275101461179725,0,0,0.0,0.0833333333333333,0,1,124.3060207475488,1,0,1,0.0018701932818094,0.742965089443472,1.6817928305074292,1,0.2727272727272727,-0.1313269769836812,0,0,0,11,0
120-12-7,43.57142857142858,0,0.71429,3374.641389,22.0,54.524736,0.8736785624777734,-0.0265158055555552,14.732700188922648,0,0,6.86465203856463,0.4618341940314015,0,1.1265306122448973,0.938775510204081,0,0,0.0019503598233082,4,12.947337073611134,0,0,0.0,0.2222222222222222,0,0,162.97820496463774,0,0,0,0.0003575074525745,0.0,0.0,0,1.0,-0.0032212249254193,0,0,0,0,0
1241-94-7,91.28779237625793,1,0.60556,7232.523028102,29.25,5630.783371288006,2.1134972896432864,0.1690511911982227,20.57484900011088,0,0,5.28002609657579,0.6415970447000618,0,0.9820082328728216,1.0886088788211634,0,0,0.0777606712383195,0,-7.627297238834626,0,1,0.0,0.2041241452319315,0,0,175.6996027712085,0,0,0,-0.0148218289275771,0.3706991160661792,0.0,0,0.6,-0.1074386205388796,0,0,0,11,0
126-71-6,26.60944206008584,0,0.56433,4839.77344972201,11.25,2388.514475999996,2.9792596382386862,0.3596609829545456,0.75,0,0,2.56494935746154,0.4792258825816676,0,0.8722317840581403,1.006176997484224,0,0,0.1014717574547853,0,6.60667667907267,0,1,0.0,0.0,0,0,133.53286472581476,0,0,0,-0.005596644308343,0.9915509259259248,0.0,0,0.0,0.0028706679939798,0,0,0,9,0
126-73-8,39.30587557603687,0,0.56433,4508.49512572202,11.25,1988.738144999996,2.2411284444464323,0.3193619829545441,8.99300875638503,0,0,2.56494935746154,0.5386087813509777,0,1.2972333591486294,1.1744315512431294,0,0,0.0184444394321178,0,-3.9136569488178727,0,1,0.0,0.0,0,0,152.6535126381145,0,0,0,-0.034557430383379,0.0,0.0,0,0.0,-0.1656458514671462,0,0,0,12,0
129-00-0,86.95652173913044,1,0.71429,4673.018478,25.5,28.278432,1.16175692332069,0.001964639053255,14.16403174131337,0,0,7.57496747396339,0.4336104287817554,0,1.2828947368421049,0.8463541666666664,0,0,0.0019494652023024,6,21.013429570019746,0,0,0.0,0.2471938745990654,0,0,125.22589063681754,0,0,0,-0.0012479467455621,0.0,0.0,0,1.0,0.0034665590206442,0,0,0,0,0
